Identity  : 	id10001
Reference : 	1zcIwhmdeo4
Offset    : 	-5
FV Conf   : 	15.224
ASD Conf  : 	7.857

FRAME 	X 	Y 	W 	H 
000477 	17 	48 	269 	268 
000478 	17 	48 	269 	268 
000479 	17 	48 	269 	268 
000480 	17 	48 	269 	268 
000481 	17 	48 	269 	268 
000482 	17 	48 	269 	268 
000483 	17 	48 	269 	268 
000484 	47 	18 	269 	268 
000485 	47 	18 	269 	268 
000486 	47 	18 	269 	268 
000487 	47 	18 	269 	268 
000488 	47 	18 	269 	268 
000489 	47 	18 	269 	268 
000490 	47 	18 	269 	268 
000491 	47 	18 	269 	268 
000492 	47 	18 	269 	268 
000493 	47 	48 	269 	268 
000494 	47 	48 	269 	268 
000495 	47 	48 	269 	268 
000496 	47 	48 	269 	268 
000497 	47 	48 	269 	268 
000498 	77 	48 	268 	268 
000499 	77 	48 	268 	268 
000500 	77 	48 	268 	268 
000501 	77 	48 	268 	268 
000502 	77 	48 	268 	268 
000503 	77 	48 	268 	268 
000504 	77 	48 	268 	268 
000505 	77 	48 	268 	268 
000506 	77 	48 	268 	268 
000507 	77 	48 	268 	268 
000508 	77 	48 	268 	268 
000509 	77 	48 	268 	268 
000510 	77 	48 	268 	268 
000511 	77 	48 	268 	268 
000512 	77 	48 	268 	268 
000513 	77 	48 	268 	268 
000514 	77 	48 	268 	268 
000515 	77 	48 	268 	268 
000516 	77 	48 	268 	268 
000517 	77 	48 	268 	268 
000518 	77 	48 	268 	268 
000519 	77 	48 	268 	268 
000520 	77 	48 	268 	268 
000521 	77 	48 	268 	268 
000522 	77 	48 	268 	268 
000523 	77 	48 	268 	268 
000524 	77 	48 	268 	268 
000525 	77 	48 	268 	268 
000526 	77 	48 	268 	268 
000527 	77 	48 	268 	268 
000528 	77 	48 	268 	268 
000529 	77 	48 	268 	268 
000530 	77 	48 	268 	268 
000531 	77 	48 	268 	268 
000532 	77 	48 	268 	268 
000533 	77 	48 	268 	268 
000534 	77 	48 	268 	268 
000535 	77 	48 	268 	268 
000536 	77 	48 	268 	268 
000537 	77 	48 	268 	268 
000538 	77 	48 	268 	268 
000539 	77 	48 	268 	268 
000540 	77 	48 	268 	268 
000541 	77 	48 	268 	268 
000542 	77 	48 	268 	268 
000543 	77 	48 	268 	268 
000544 	77 	48 	268 	268 
000545 	77 	18 	268 	268 
000546 	77 	18 	268 	268 
000547 	77 	18 	268 	268 
000548 	77 	18 	268 	268 
000549 	77 	48 	268 	268 
000550 	77 	48 	268 	268 
000551 	77 	48 	268 	268 
000552 	77 	48 	268 	268 
000553 	77 	48 	268 	268 
000554 	77 	48 	268 	268 
000555 	77 	48 	268 	268 
000556 	77 	48 	268 	268 
000557 	77 	48 	268 	268 
000558 	77 	48 	268 	268 
000559 	77 	48 	268 	268 
000560 	77 	48 	268 	268 
000561 	77 	48 	268 	268 
000562 	77 	48 	268 	268 
000563 	21 	22 	322 	322 
000564 	21 	22 	322 	322 
000565 	21 	22 	322 	322 
000566 	47 	48 	269 	268 
000567 	47 	48 	269 	268 
000568 	47 	48 	269 	268 
000569 	47 	48 	269 	268 
000570 	47 	48 	269 	268 
000571 	47 	48 	269 	268 
